ID,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_7,Q8_8,Q8_9,Q8_10,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_11,Q11_12,Q11_7,Q11_8,Q11_9,Q11_10,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_15,Q14_14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q15_16,Q15_17,Q15_18,Q15_19,Q15_20,Q15_21,Q15_22,Q15_23,Q17,Q18,Q19,Q20,Q21,Q23,Q26,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,11,9,5,7,4,5,5,4,5,5,5,4,5,4,4
11,3,1,,,1,1,,,,,1,,,1,,,,,,,,1,,,1,,,,,1,,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,31,3,2,1,11,6,2,5,3,5,4,4,6,7,7,6,6
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4,7,9,2,7,1,3,6,2,3,4,3,4,3,3,3
13,3,1,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,41,3,11,9,5,5,1,6,3,5,4,5,3,5,5,5,3
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,1,,1,1,,,,,,,1,,1,,,,,,1,,1,,,,1,,,,,,1,1,,,,,,,,,1,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,1,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,1,1,,,,25,2,11,9,5,6,4,5,5,3,7,4,6,6,5,3,4
17,2,2,,1,,,1,,1,,,,,1,1,1,,1,,,,1,,,,1,,1,1,,,,,1,,,1,1,,,1,1,,,,1,,,,,,,,,,,,1,,,,,,,1,1,1,1,,1,,,1,1,1,1,1,,,1,,,,,,,,,,,1,,,,,,,1,,1,,,28,1,16,16,1,5,1,4,3,2,3,7,4,5,7,3,4
18,8,3,,1,,,,1,,,,1,1,1,,,,,,,,,1,,1,,1,,,,,,1,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,1,1,,,,1,,,1,,1,1,,31,3,6,16,1,5,1,4,4,5,3,5,6,5,3,5,5
19,9,2,,1,,,1,,,,,1,,1,,,,1,,,,,1,,1,1,,,,,,,1,,1,,1,,,,,1,1,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,1,,,,1,,,1,1,,1,1,1,,,1,1,,1,,1,,1,,,1,1,,1,,27,1,16,16,11,6,4,4,6,2,7,7,3,4,7,1,4
20,5,2,,1,1,,,,,,,,,1,,,,1,,,,1,1,,,1,,1,,,1,,1,,,,,,,,,1,1,,,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,1,,,1,,1,1,1,,,1,,,,1,,,,1,1,,,1,1,1,,,1,1,,,,22,2,4,14,1,5,6,5,4,6,5,4,4,7,1,3,3
21,7,3,,1,1,1,1,,,1,,1,,,,1,,1,,1,,,1,,,1,,,,,,,1,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,1,1,,1,,,1,,,,,1,1,,1,,,,1,,,,,,1,,27,3,16,6,11,6,1,4,3,6,5,5,6,6,5,4,4
22,4,1,,,1,,1,,,,,1,,1,,,,1,,,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,1,,,32,1,10,16,3,6,1,1,4,5,5,6,6,3,2,5,3
23,9,1,,1,,1,,,,,,,,1,,1,,1,,,,1,1,,1,1,,1,,,,,1,,,,1,1,1,,,1,1,,,1,,,,1,1,,,,,,,,,,,1,,,1,1,,,,1,1,,,,1,1,1,1,,,,,,,1,,1,,,,1,,,,,,,1,,1,,,26,2,7,8,2,6,4,3,7,6,1,7,5,6,1,6,1
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,1,,,1,,,,,,,,1,,,,,,,1,,1,1,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,,1,,1,,1,1,1,,1,,,,1,,,,,,,,,,,1,,,,,,,,42,3,10,8,4,7,1,3,5,5,2,6,6,5,2,5,3
26,4,1,,1,,,,,1,,,,,1,,,,1,,,,,,,1,,,,,1,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,31,3,10,8,3,7,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,,1,,,,,,1,1,,,,,,1,,,1,,,1,,1,,1,,,1,,,1,1,,,,,,,,1,1,,1,,,,,1,,,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,,,,,,1,1,,1,,28,1,16,16,1,6,1,5,5,5,3,6,5,6,5,4,4
28,1,1,,,1,,,,,,,,,,,1,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,1,,1,,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,41,2,10,8,4,7,1,5,5,6,1,6,6,5,1,4,1
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2,10,8,4,6,4,2,2,4,3,4,5,4,5,6,4
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,10,8,4,6,1,2,7,6,2,5,6,7,1,3,5
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,10,8,4,6,4,2,1,4,3,6,5,2,1,5,5
33,8,4,,1,1,,1,,1,,,,,1,1,1,,,,,,1,1,,1,,,1,,,,,1,,,,,,1,,,,,,,,1,1,,,,,,,,1,,1,,,,,,,1,1,1,,,,,,1,1,,1,,,,,,,,1,,,,,1,,1,,,,,,,,,1,,,36,1,10,8,4,2,1,6,4,5,1,6,4,6,4,6,2
34,4,1,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,29,2,12,8,10,6,4,5,3,4,1,7,4,7,1,4,1
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,4,16,1,2,4,7,4,7,1,6,1,2,1,5,1
36,6,2,,,1,1,,,1,,,,,1,,1,,1,,,1,1,1,,1,,1,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,1,,1,,,,,1,,,1,,,,,,,1,,1,,,,,,1,,,,,,,,,1,1,,26,1,10,8,4,6,4,4,5,4,4,5,6,5,2,6,5
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,16,8,2,7,1,6,5,5,3,6,4,6,3,6,3
38,3,2,,1,1,1,,,1,,1,1,1,1,,,,1,,1,,1,1,,1,1,,1,,,1,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,1,,1,1,1,,1,,,,,1,,,,1,,1,,,,1,,,1,,1,1,,22,2,10,8,4,2,4,5,4,6,1,7,5,6,2,7,4
39,7,2,,1,,1,1,,,,,,,,1,,,1,,,,1,1,1,,1,1,1,,,1,,1,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,1,1,1,1,1,,1,,,1,1,1,,,,1,1,,1,1,,1,,,1,1,1,1,,36,1,7,8,2,7,1,4,6,7,5,7,6,2,1,7,2
40,5,2,,1,,1,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,1,1,1,,,,30,2,10,8,4,6,1,4,6,1,1,5,5,4,1,6,3
41,4,1,,1,,,,,1,,,1,,1,1,1,,1,,1,,1,1,1,1,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,1,,,,,,1,,,,1,1,1,,1,,,,,1,,,,,,1,,1,,,,,1,,1,1,,33,2,16,8,11,7,1,2,5,5,3,4,7,3,2,5,6
42,6,3,,1,,1,1,,1,,,,,1,1,1,,1,,1,,1,1,1,,,,1,,,,,1,,,,1,,,,,,,1,,,1,1,,,1,,,,,1,,,1,,,1,,,1,1,,1,,,,1,1,1,,,1,1,,1,,,1,1,1,,1,,,,1,,1,,,1,1,1,1,1,1,,54,2,10,15,4,7,1,6,1,6,1,7,2,5,1,6,1
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,3,16,16,11,7,1,4,1,5,1,6,4,7,2,4,1
44,3,1,,1,,,,,,,,,,1,,1,,,1,1,,1,1,,1,1,1,1,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,1,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,1,,,1,,1,1,,23,2,16,16,11,5,4,5,4,5,1,6,4,4,2,7,1
45,6,2,,1,1,,,,,,,,,1,,,,,,,,1,,1,,1,,,1,,,,,,1,,,,,,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,1,1,1,,,1,,,,1,1,1,,,30,3,16,16,11,7,4,4,6,6,5,5,4,6,2,4,5
46,6,2,,1,1,1,1,,1,,,1,1,,1,,,1,1,1,,,,1,1,1,1,,,,1,,1,,,,1,1,,,1,,1,,,,,,,,1,1,1,1,,,,,1,,,1,,,,,,,1,,,1,,,1,,,1,,,,,,,1,,,,,,1,,1,,,,,1,1,,,,29,2,16,3,11,6,4,6,3,7,5,5,3,4,3,5,3
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1,10,8,4,7,2,6,2,2,2,3,2,6,2,5,2
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3,16,8,10,6,4,4,4,5,5,6,6,6,3,6,2
49,2,1,,1,,,,,,,,1,,1,,1,,1,,,,1,1,,1,1,1,1,,,,,1,,,,1,1,,1,,1,,,,,,,,,1,,,,,1,,,1,,1,1,1,,,1,1,1,,,1,1,,1,,1,,,,1,,,1,,1,,,,,,1,,,,1,,,1,,1,1,,29,2,10,8,4,7,1,4,4,6,6,6,7,4,2,6,2
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3,6,16,7,6,1,4,2,7,1,6,4,4,1,7,1
51,6,3,,1,1,,,,1,,1,,,1,1,,,,,,1,,1,,1,1,1,1,,,,,1,1,,,1,1,,,1,,1,,,,,1,,,1,,,,,1,,1,,,,,,,1,1,,,,,1,1,,1,,1,1,1,,1,,,1,1,1,,,,,,1,1,,,1,,,1,1,1,,,27,1,10,8,4,6,1,2,5,5,4,5,5,2,4,7,2
